trans_id,users_id,equipment_items,checkout_date,expected_return_date,actual_return_date,comments
1,jsmith6,"{13,14}",2023-01-05,2023-01-12,2023-01-11,Research project VR equipment checkout
2,ejohns1,"{6,7,8}",2023-02-10,2023-02-17,2023-02-16,Camera equipment for photography
3,crodrig9,"{1,2,3,4}",2023-03-15,2023-03-22,2023-03-21,Mobile device testing
4,ppatel21,"{9,10,21}",2023-04-20,2023-04-27,2023-04-26,Computer lab workstation
5,mali32,"{11,12}",2023-05-25,2023-06-01,2023-05-31,FPGA board for research
6,onguye19,"{15,23,29}",2023-06-30,2023-07-07,2023-07-06,VR development equipment
7,mgarci5,"{16,17,18}",2023-07-05,2023-07-12,2023-07-11,Miscellaneous devices
8,ekim23,"{5,19,25}",2023-08-10,2023-08-17,2023-08-16,Mobile device testing
9,akhan21,"{20,26,32}",2023-09-15,2023-09-22,2023-09-21,Camera equipment for research
10,dmarti3,"{27,33,39}",2023-10-20,2023-10-27,2023-10-26,Computer lab workstation
11,iwong12,"{31,37,43}",2023-11-25,2023-12-02,0001-01-01,Awaiting return
12,aahme4,"{38,44,50}",2023-12-30,2024-01-06,0001-01-01,Awaiting return
13,schen32,"{51,33}",2024-01-05,2024-01-12,0001-01-01,Awaiting return
14,akhan12,"{12,20,7}",2024-02-10,2024-02-17,0001-01-01,Awaiting return
15,msilva9,"{2,3,5}",2024-03-15,2024-03-22,0001-01-01,Awaiting return
16,athoma4,"{1,8,13}",2024-04-20,2024-04-27,0001-01-01,Awaiting return
17,ewilso,"{42,6,40,30}",2024-05-25,2024-06-01,0001-01-01,Awaiting return
18,lrahma6,{11},2024-06-30,2024-07-07,0001-01-01,Awaiting return
19,dlopez22,{9},2024-07-05,2024-07-12,0001-01-01,Awaiting return
20,mherna10,{14},2024-08-10,2024-08-17,0001-01-01,Awaiting return
21,lkim17,{49},2024-09-15,2024-09-22,0001-01-01,Awaiting return
22,apatel1,"{10,31}",2024-10-20,2024-10-27,0001-01-01,Awaiting return
23,lnguye5,"{19,4}",2024-11-25,2024-12-02,0001-01-01,Awaiting return
24,agonzal4,"{21,45}",2024-12-30,2025-01-06,0001-01-01,Awaiting return
25,zsingh1,{47},2025-01-05,2025-01-12,0001-01-01,Awaiting return
26,lwilli3,{48},2025-02-10,2025-02-17,0001-01-01,Awaiting return
27,fali28,{52},2025-03-15,2025-03-22,0001-01-01,Awaiting return
28,nbrown8,{53},2025-04-20,2025-04-27,0001-01-01,Awaiting return
29,adavis3,{54},2025-05-25,2025-06-01,0001-01-01,Awaiting return
30,olee6,{55},2025-06-30,2025-07-07,0001-01-01,Awaiting return