users_id,project_name,sponsor,is_team_lead
jsmith6,Virtual Reality Exploration,XYZ Corporation,1
ejohns1,Augmented Reality in Education,ABC Foundation,1
crodrig9,Computer Vision Research,DEF Labs,1
ppatel21,FPGA-Based Prototyping,GHI Technologies,1
mali32,Mobile App Development,JKL Innovations,1
onguye19,3D Printing Advancements,MNO Industries,1
mgarci5,Healthcare VR Applications,PQR Health Systems,1
ekim23,Camera Technology Enhancement,UVW Imaging,1
akhan21,AI and Robotics Integration,RST Robotics,1
dmarti3,Virtual Reality Exploration,XYZ Corporation,0
iwong12,Augmented Reality in Education,ABC Foundation,0
aahme4,Computer Vision Research,DEF Labs,0
schen32,FPGA-Based Prototyping,GHI Technologies,0
akhan12,Mobile App Development,JKL Innovations,0
msilva9,3D Printing Advancements,MNO Industries,0
athoma4,Healthcare VR Applications,PQR Health Systems,0
ewilso,Camera Technology Enhancement,UVW Imaging,0
lrahma6,AI and Robotics Integration,RST Robotics,0
dlopez22,Virtual Reality Exploration,XYZ Corporation,0
mherna10,Augmented Reality in Education,ABC Foundation,0
lkim17,Computer Vision Research,DEF Labs,0
apatel1,FPGA-Based Prototyping,GHI Technologies,0
lnguye5,Mobile App Development,JKL Innovations,0
agonzal4,3D Printing Advancements,MNO Industries,0
zsingh1,Healthcare VR Applications,PQR Health Systems,0
lwilli3,Camera Technology Enhancement,UVW Imaging,0
fali28,AI and Robotics Integration,RST Robotics,0
nbrown8,Virtual Reality Exploration,XYZ Corporation,0
adavis3,Augmented Reality in Education,ABC Foundation,0
olee6,Computer Vision Research,DEF Labs,0
lkim21,FPGA-Based Prototyping,GHI Technologies,0
awhite,Mobile App Development,JKL Innovations,0
akhan2,3D Printing Advancements,MNO Industries,0
emorale1,Healthcare VR Applications,PQR Health Systems,0
mperez1,Camera Technology Enhancement,UVW Imaging,0
ssantos6,AI and Robotics Integration,RST Robotics,0
staylor3,Virtual Reality Exploration,XYZ Corporation,0
hjacks4,Augmented Reality in Education,ABC Foundation,0
epatel9,Computer Vision Research,DEF Labs,0
jkim3,FPGA-Based Prototyping,GHI Technologies,0
swillia2,Mobile App Development,JKL Innovations,0
rgarci7,3D Printing Advancements,MNO Industries,0
edavis1,Healthcare VR Applications,PQR Health Systems,0
srodri7,Camera Technology Enhancement,UVW Imaging,0
kahmed2,AI and Robotics Integration,RST Robotics,0
zander11,Virtual Reality Exploration,XYZ Corporation,0
lnguye11,Augmented Reality in Education,ABC Foundation,0
imorale4,Computer Vision Research,DEF Labs,0
wsmith12,FPGA-Based Prototyping,GHI Technologies,0
awinte1,Computer Vision Research,DEF Labs,0